caseId,ACBarrett,AFortas,AMKennedy,AScalia,BMKavanaugh,BRWhite,CEWhittaker,CThomas,DHSouter,EKagan,EWarren,FFrankfurter,FMVinson,FMurphy,HABlackmun,HHBurton,HLBlack,JGRoberts,JHarlan2,JPStevens,KBJackson,LFPowell,NMGorsuch,PStewart,RBGinsburg,RHJackson,SAAlito,SDOConnor,SFReed,SGBreyer,SMinton,SSotomayor,TCClark,TMarshall,WBRutledge,WEBurger,WHRehnquist,WJBrennan,WODouglas
2002-081,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2002-082,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2002-083,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2002-084,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2002-085,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,0.0,,,,,,,1.0,,
2003-005,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,
2003-006,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-023,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2003-026,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-030,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-031,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-033,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,,,,,,,,1.0,,
